# Time	Umin	Umin location	Umax	Umax location	Umean	UstDev	pmin	pmin location	pmax	pmax location	pmean	pstDev	totalVolume
0.00125	2.299077473e-08	( 0.495 0.145 0.005 )	0.03906021692	( 0.305 0.095 0.005 )	0.0003230825422	0.001806519034	-9.761104824	( 0.185 0.995 0.005 )	1329.019055	( 0.005 0.005 0.005 )	212.3500522	383.5159284	0.00385
0.00270833	1.777984624e-08	( 0.495 0.145 0.005 )	0.07898496551	( 0.305 0.095 0.005 )	0.0006709713912	0.003721221766	-9.761311669	( 0.185 0.995 0.005 )	1330.026729	( 0.005 0.005 0.005 )	212.731773	384.4147046	0.00385
0.00453125	4.500490612e-09	( 0.505 0.035 0.005 )	0.1285521516	( 0.305 0.095 0.005 )	0.001097088317	0.006309841287	-9.761017178	( 0.185 0.995 0.005 )	1330.526334	( 0.005 0.005 0.005 )	212.9287189	384.7947561	0.00385
0.00635417	3.67669823e-09	( 0.505 0.035 0.005 )	0.1755278734	( 0.305 0.095 0.005 )	0.001509883841	0.009042551735	-9.760950097	( 0.495 0.995 0.005 )	1331.172263	( 0.995 0.005 0.005 )	213.1631032	385.2940807	0.00385
0.00817708	1.367958401e-08	( 0.495 0.145 0.005 )	0.2214481634	( 0.305 0.095 0.005 )	0.001912835469	0.01185878314	-9.760950056	( 0.515 0.995 0.005 )	1331.462786	( 0.995 0.005 0.005 )	213.2565124	385.5229754	0.00385
0.01	0.0002072440573	( 0.005 0.005 0.005 )	0.2855498693	( 0.685 0.055 0.005 )	0.02235598798	0.02959789155	-20.90217775	( 0.995 0.395 0.005 )	1177.773976	( 0.005 0.005 0.005 )	145.4064808	282.0078789	0.00385
0.012	0.0003871954016	( 0.005 0.005 0.005 )	0.3706686395	( 0.685 0.055 0.005 )	0.04474709924	0.05783388343	-20.51796399	( 0.005 0.395 0.005 )	1181.274493	( 0.995 0.005 0.005 )	146.8083361	284.2946285	0.00385
0.0146667	0.0006212323075	( 0.005 0.005 0.005 )	0.4798879844	( 0.685 0.055 0.005 )	0.0740117499	0.09564835506	-20.05843206	( 0.005 0.395 0.005 )	1184.486617	( 0.995 0.005 0.005 )	148.1667237	286.3312205	0.00385
0.0173333	0.0008477766631	( 0.005 0.005 0.005 )	0.5675782155	( 0.685 0.055 0.005 )	0.1025614916	0.1325787845	-19.63332434	( 0.995 0.395 0.005 )	1188.276358	( 0.005 0.005 0.005 )	149.7042623	288.8457434	0.00385
0.02	0.001067279481	( 0.005 0.005 0.005 )	0.6389152962	( 0.685 0.055 0.005 )	0.1303182813	0.1684527437	-19.21652604	( 0.995 0.395 0.005 )	1191.920121	( 0.005 0.005 0.005 )	151.1494757	291.2164188	0.00385
0.0233333	4.997865702e-06	( 0.505 0.045 0.005 )	0.7132390628	( 0.315 0.075 0.005 )	0.006142675277	0.03800365991	-154.9811904	( 0.675 0.055 0.005 )	3496.047311	( 0.315 0.055 0.005 )	438.2070517	827.2036514	0.00385
0.0266667	5.27839555e-06	( 0.535 0.095 0.005 )	0.8325060728	( 0.685 0.075 0.005 )	0.006387161654	0.0421371089	-9.760953941	( 0.515 0.995 0.005 )	1338.702121	( 0.935 0.005 0.005 )	216.1432945	390.7275376	0.00385
0.03	1.008131291e-05	( 0.545 0.085 0.005 )	1.017371479	( 0.685 0.075 0.005 )	0.006879544971	0.04661158268	-9.760952636	( 0.515 0.995 0.005 )	1333.489206	( 0.995 0.005 0.005 )	213.8116315	387.1428209	0.00385
0.0333333	8.071262276e-07	( 0.185 0.635 0.005 )	1.169685492	( 0.685 0.075 0.005 )	0.007342757213	0.05075667747	-9.760951799	( 0.515 0.995 0.005 )	1332.545817	( 0.005 0.005 0.005 )	213.3953903	386.5567849	0.00385
0.0366667	4.634265759e-06	( 0.545 0.085 0.005 )	1.337830315	( 0.315 0.075 0.005 )	0.007968869131	0.05753202782	-9.760951336	( 0.515 0.995 0.005 )	1332.43772	( 0.995 0.005 0.005 )	213.3137223	386.5308117	0.00385
0.04	0.0003956427081	( 0.995 0.005 0.005 )	0.9672319646	( 0.315 0.085 0.005 )	0.04092334811	0.06567375629	-19.56979145	( 0.995 0.395 0.005 )	1194.24231	( 0.005 0.005 0.005 )	152.0646555	292.7065647	0.00385
0.0433333	0.0006617617173	( 0.995 0.005 0.005 )	0.7914942904	( 0.315 0.085 0.005 )	0.07498462831	0.1001511055	-19.33692727	( 0.005 0.395 0.005 )	1196.430263	( 0.995 0.005 0.005 )	152.8930193	294.2201361	0.00385
0.0466667	0.0009229100861	( 0.995 0.005 0.005 )	0.8694869212	( 0.305 0.085 0.005 )	0.1088875348	0.1417439382	-19.07258679	( 0.005 0.395 0.005 )	1197.682682	( 0.995 0.005 0.005 )	153.5241861	295.3337319	0.00385
0.05	0.001180664998	( 0.995 0.005 0.005 )	0.8335014899	( 0.315 0.075 0.005 )	0.1422007579	0.1836796094	-18.99598226	( 0.995 0.395 0.005 )	1198.320564	( 0.005 0.005 0.005 )	153.8292742	295.9317165	0.00385
