# Time	Probe 0	Probe 1
1	( -8.929828796e-11 -2.775715817e-08 0 )	( 2.72242546e-11 1.110760312e-08 0 )
2	( 6.894682174e-09 7.336792218e-08 0 )	( -2.267801133e-09 8.405802304e-07 0 )
3	( 9.175930047e-08 6.797852792e-08 0 )	( 5.752983442e-08 6.825528677e-07 0 )
4	( -5.315148469e-09 7.998137662e-08 0 )	( 3.570258694e-09 7.007394072e-07 0 )
5	( 5.388868413e-08 7.824995733e-08 0 )	( 9.188456157e-10 6.180580533e-07 0 )
6	( -1.084698025e-08 7.721327355e-08 0 )	( 1.304674568e-09 5.898982542e-07 0 )
7	( -1.19460253e-08 7.665275246e-08 0 )	( 8.078444543e-10 5.650405962e-07 0 )
8	( -7.025369454e-09 7.7041844e-08 0 )	( 7.433414318e-10 5.606066011e-07 0 )
9	( -1.379396708e-08 2.515813882e-08 0 )	( 1.199915856e-09 1.801418922e-07 0 )
10	( -1.150455491e-08 3.108796268e-08 0 )	( 1.06868228e-09 2.373240573e-07 0 )
11	( -8.284352293e-09 2.361654216e-08 0 )	( 1.110287486e-09 1.798997557e-07 0 )
12	( -7.247082209e-09 2.643405886e-08 0 )	( 1.012948119e-09 2.098947485e-07 0 )
13	( -5.458531837e-09 2.481630063e-08 0 )	( 9.946626551e-10 1.995641922e-07 0 )
14	( 6.895709419e-08 2.706893347e-08 0 )	( 5.210259385e-09 2.223887666e-07 0 )
15	( -2.448455192e-08 2.522703381e-08 0 )	( 1.226455744e-09 2.088602118e-07 0 )
16	( 6.054904906e-08 2.726034677e-08 0 )	( 8.696390264e-09 2.306729352e-07 0 )
17	( 2.989911584e-08 2.701393056e-08 0 )	( 1.052568032e-08 2.286686047e-07 0 )
18	( 3.565490519e-08 2.759963626e-08 0 )	( 9.20085987e-09 2.339172942e-07 0 )
19	( 2.362910652e-08 2.774159279e-08 0 )	( 1.027756234e-08 2.341733883e-07 0 )
20	( 2.106235635e-08 2.803676419e-08 0 )	( 9.607999954e-09 2.361788324e-07 0 )
21	( 1.58998945e-08 2.816349175e-08 0 )	( 9.995723552e-09 2.367858185e-07 0 )
22	( 1.3203804e-08 2.825903399e-08 0 )	( 9.744255902e-09 2.376137567e-07 0 )
23	( 1.041538152e-08 2.826986746e-08 0 )	( 9.818946993e-09 2.37917386e-07 0 )
24	( 8.449806659e-09 2.82449721e-08 0 )	( 9.699697521e-09 2.381118085e-07 0 )
25	( -2.814628651e-08 1.086930551e-08 0 )	( 5.991662776e-09 8.467144391e-08 0 )
26	( -1.748500698e-08 1.296544888e-08 0 )	( 5.925594979e-09 1.059232303e-07 0 )
27	( -2.51554276e-08 1.02119383e-08 0 )	( 1.989425663e-08 8.226831734e-08 0 )
28	( -1.68057517e-08 1.113568274e-08 0 )	( 1.766908998e-08 9.251020539e-08 0 )
29	( -1.580251363e-08 1.031200975e-08 0 )	( 2.022348937e-08 8.630248774e-08 0 )
30	( -1.172100312e-08 1.047049259e-08 0 )	( 1.912905103e-08 8.898502405e-08 0 )
31	( -1.024155358e-08 1.016196969e-08 0 )	( 1.985634878e-08 8.706425194e-08 0 )
32	( -8.171755267e-09 1.014555053e-08 0 )	( 1.952965095e-08 8.761609372e-08 0 )
33	( -7.009439841e-09 9.981622891e-09 0 )	( 1.973414369e-08 8.68668674e-08 0 )
34	( -5.813969863e-09 9.902134787e-09 0 )	( 1.960554915e-08 8.678055669e-08 0 )
35	( -4.977516468e-09 9.810822658e-09 0 )	( 1.96220583e-08 8.630959497e-08 0 )
36	( -4.207399502e-09 9.75562359e-09 0 )	( 1.95280618e-08 8.600255038e-08 0 )
37	( -3.595442882e-09 9.698307092e-09 0 )	( 1.946763099e-08 8.557089324e-08 0 )
38	( -3.823859346e-09 9.689367747e-09 0 )	( 2.208860367e-08 8.572078518e-08 0 )
39	( -3.077517622e-09 9.63826226e-09 0 )	( 2.162337124e-08 8.517974536e-08 0 )
40	( -2.687809319e-09 9.601957652e-09 0 )	( 2.198512302e-08 8.480013043e-08 0 )
41	( -2.158617081e-09 9.557135442e-09 0 )	( 2.169754001e-08 8.427161659e-08 0 )
42	( -1.792138175e-09 9.516848728e-09 0 )	( 2.17026873e-08 8.378993049e-08 0 )
43	( -1.420711439e-09 9.473734414e-09 0 )	( 2.152651636e-08 8.326166816e-08 0 )
44	( -1.12132082e-09 9.43103199e-09 0 )	( 2.142491983e-08 8.27378756e-08 0 )
45	( -8.422536637e-10 9.386397741e-09 0 )	( 2.126494238e-08 8.219466216e-08 0 )
46	( -6.029362732e-10 9.340939865e-09 0 )	( 2.111965138e-08 8.164676429e-08 0 )
47	( -3.936697198e-10 9.296905377e-09 0 )	( 2.095235613e-08 8.108852276e-08 0 )
48	( -2.044351619e-10 9.24753679e-09 0 )	( 2.078414097e-08 8.052432118e-08 0 )
49	( -3.780782592e-11 9.19495804e-09 0 )	( 2.060512182e-08 7.995338692e-08 0 )
50	( 1.025928256e-10 9.140204119e-09 0 )	( 2.042166501e-08 7.937756147e-08 0 )
