#distance	U_0	U_1	U_2
0	0	0	0
5.050505051	8.755321275	-5.203987483e-05	-0.0002131724846
10.1010101	9.867344007	-4.224441184e-05	-0.0006914547678
15.15151515	10.35319938	-3.76273124e-05	-0.0008323277674
20.2020202	10.643122	-3.679665059e-05	-0.0007986594565
25.25252525	10.86816922	-4.419828209e-05	-0.0007170734899
30.3030303	11.0726826	-5.774842895e-05	-0.0006507778574
35.35353535	11.27232028	-7.472537389e-05	-0.0006167341793
40.4040404	11.47323143	-9.070800985e-05	-0.0006260285548
45.45454545	11.67731497	-0.0001003168605	-0.0006832289948
50.50505051	11.88431533	-0.0001005040493	-0.0007688504851
55.55555556	12.09350667	-9.326059299e-05	-0.0008751236464
60.60606061	12.30389286	-8.542374776e-05	-0.001005347259
65.65656566	12.51425223	-8.467105534e-05	-0.001146150537
70.70707071	12.72333787	-9.256970559e-05	-0.001278412773
75.75757576	12.93028972	-0.0001105233041	-0.001404038821
80.80808081	13.13351127	-0.0001272485842	-0.001546419715
85.85858586	13.33198255	-0.0001368435512	-0.001682757195
90.90909091	13.52637807	-0.0001424396264	-0.001812378472
90.90909091	13.52637807	-0.0001424396264	-0.001812378472
95.95959596	13.7156738	-0.0001429585508	-0.001921308238
95.95959596	13.7156738	-0.0001429585508	-0.001921308238
101.010101	13.89780422	-0.0001331416835	-0.001997280687
101.010101	13.89780422	-0.0001331416835	-0.001997280687
106.0606061	14.07668226	-0.0001376082795	-0.002060709934
106.0606061	14.07668226	-0.0001376082795	-0.002060709934
111.1111111	14.24640961	-0.0001276475274	-0.002095213835
111.1111111	14.24640961	-0.0001276475274	-0.002095213835
116.1616162	14.41180844	-0.0001165677818	-0.002123377792
121.2121212	14.56930225	-0.0001001170669	-0.002139991896
126.2626263	14.72104496	-8.160802531e-05	-0.002143418014
131.3131313	14.86540057	-6.807679238e-05	-0.002127927366
136.3636364	15.00460398	-4.867122397e-05	-0.002097338779
141.4141414	15.13531216	-4.507949168e-05	-0.002052146732
146.4646465	15.26412713	-3.140501693e-05	-0.002005920014
151.5151515	15.3813783	-2.202623245e-05	-0.001959738385
156.5656566	15.49891093	-1.50502152e-05	-0.001919266556
161.6161616	15.60678089	2.11140251e-06	-0.00189555862
166.6666667	15.7114102	1.882128505e-05	-0.00187403085
171.7171717	15.81356148	3.209733489e-05	-0.001852959667
176.7676768	15.905117	4.924983408e-05	-0.001850015959
181.8181818	15.9969516	5.107514683e-05	-0.001834089899
186.8686869	16.08360832	4.835491282e-05	-0.001800191641
191.9191919	16.16279519	4.471155389e-05	-0.001745413756
196.969697	16.24220865	2.682866634e-05	-0.00168683375
202.020202	16.31722468	7.751104635e-06	-0.001614383516
207.0707071	16.38645604	-1.133116722e-05	-0.001524182367
212.1212121	16.4548772	-1.993091205e-05	-0.001426104339
217.1717172	16.52122492	-2.828124255e-05	-0.001330137213
222.2222222	16.58106422	-4.311841328e-05	-0.001246887443
227.2727273	16.64040364	-6.128622754e-05	-0.001169348774
232.3232323	16.69924635	-8.276357142e-05	-0.001097485003
237.3737374	16.75189537	-8.295561569e-05	-0.001018652008
242.4242424	16.80276217	-7.702285588e-05	-0.0009378136323
247.4747475	16.85338949	-8.721436545e-05	-0.0009074725777
252.5252525	16.90347159	-9.715929965e-05	-0.0008777345283
257.5757576	16.94590287	-8.315352289e-05	-0.0007930485319
262.6262626	16.98832968	-6.747993487e-05	-0.0007096660424
267.6767677	17.03069414	-2.851958235e-05	-0.0006444837279
272.7272727	17.07250513	8.505418345e-06	-0.0005791424765
277.7777778	17.10690717	1.962317221e-05	-0.0005116736427
282.8282828	17.14130921	3.074092608e-05	-0.0004442048089
287.8787879	17.17637685	5.822288033e-05	-0.0003514660014
292.9292929	17.2115021	8.712143745e-05	-0.0002565396432
297.979798	17.24212852	0.0001024181384	-0.000207472882
303.030303	17.27141985	0.0001136782637	-0.0001720157145
308.0808081	17.30119036	0.0001135742109	-0.0001114347574
313.1313131	17.33152665	0.0001000522854	-2.118972734e-05
318.1818182	17.36107024	8.573854862e-05	5.882209114e-05
323.2323232	17.38597629	6.679254938e-05	7.896747045e-05
328.2828283	17.41088235	4.784655014e-05	9.911284976e-05
333.3333333	17.43597574	2.903679487e-05	0.0001242529826
338.3838384	17.46116667	1.029798869e-05	0.0001519941345
343.4343434	17.48561977	-5.648254411e-06	0.0001695704479
348.4848485	17.50644892	-7.878593838e-06	0.0001372213202
353.5353535	17.52727807	-1.010893327e-05	0.0001048721924
358.5858586	17.54804601	-1.594186696e-05	5.76727974e-05
363.6363636	17.56875064	-2.550119982e-05	-4.887201434e-06
368.6868687	17.58945526	-3.506053269e-05	-6.744720026e-05
373.7373737	17.60696376	-1.055533418e-05	-7.249090423e-05
378.7878788	17.6237417	2.173632152e-05	-6.43875561e-05
383.8383838	17.64051963	5.402797723e-05	-5.628420796e-05
388.8888889	17.65682393	5.247055736e-05	-5.036575594e-05
393.9393939	17.67309409	4.847316539e-05	-4.460479966e-05
398.989899	17.68904117	4.466327231e-05	-3.527786319e-05
404.040404	17.69904746	4.430115591e-05	3.96212073e-05
409.0909091	17.70905375	4.39390395e-05	0.0001145202778
414.1414141	17.71906005	4.357692309e-05	0.0001894193483
419.1919192	17.72890756	4.451113638e-05	0.0002577857753
424.2424242	17.73874696	4.55116632e-05	0.000325818026
429.2929293	17.74858635	4.651219002e-05	0.0003938502766
434.3434343	17.75176277	3.705650623e-05	0.000398550523
439.3939394	17.75377342	2.577138708e-05	0.0003921701005
444.4444444	17.75578407	1.448626793e-05	0.0003857896779
449.4949495	17.75789985	1.395298868e-05	0.0003781390437
454.5454545	17.76011459	2.353972379e-05	0.000369292841
459.5959596	17.76232932	3.31264589e-05	0.0003604466383
464.6464646	17.8113576	3.725677718e-05	0.0003437825227
469.6969697	18.07483777	1.639136069e-05	0.0002913047074
474.7474747	18.33831793	-4.474055808e-06	0.0002388268921
479.7979798	18.6017981	-2.53394723e-05	0.0001863490768
484.8484848	18.86551452	-2.833430648e-05	0.0001377413492
489.8989899	19.12939541	-1.888953765e-05	9.182756616e-05
494.9494949	19.3932763	-9.444768826e-06	4.591378308e-05
500	19.65715718	-2.338618572e-18	1.136870873e-17
