#n indicates normalization, x_n and z_n are normalized by tree height (h). Measurements are normalized by u* at mast1 2h.
Mast;x_n;z_n;U_n;W_n;sigmau_n;sigmaw_n
1;-6.1;2;13.55;-0.02;1.99;1.26
1;-6.1;1;13.07;0.57;2.28;1.14
1;-6.1;0.5;11.02;0.51;2.45;0.95
2;0;2;13.08;0.15;1.86;1.26
2;0;1;12.41;1.96;2.36;1.21
2;0;0.5;8.51;0.98;2.67;0.85
3;3.6;2;14.07;0.1;1.93;1.24
3;3.6;1;10.61;1.1;2.84;1.23
3;3.6;0.5;1.56;0.22;0.71;0.39
4;14.5;2;12.99;-0.6;2.66;1.51
4;14.5;1;6.79;-0.07;3.17;1.8
4;14.5;0.5;1.23;0.17;1.25;0.84
